,delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0,0.1,Rohan Mustafa,Bilal Khan,{'legbyes': 4},Muhammad Kaleem,"{'batsman': 0, 'extras': 4, 'total': 4}",0,0.0,0.0,4.0,0.0,0,0,0,0,0,4,4,United Arab Emirates,Mirpur,2016-02-22,male,T20,1,United Arab Emirates,runs,71,0,0,0,0,Muhammad Usman,20,Oman,United Arab Emirates,Oman,field,Shere Bangla National Stadium
1,0.2,Rohan Mustafa,Bilal Khan,0,Muhammad Kaleem,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,United Arab Emirates,Mirpur,2016-02-22,male,T20,1,United Arab Emirates,runs,71,0,0,0,0,Muhammad Usman,20,Oman,United Arab Emirates,Oman,field,Shere Bangla National Stadium
2,0.3,Rohan Mustafa,Bilal Khan,{'wides': 1},Muhammad Kaleem,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,United Arab Emirates,Mirpur,2016-02-22,male,T20,1,United Arab Emirates,runs,71,0,0,0,0,Muhammad Usman,20,Oman,United Arab Emirates,Oman,field,Shere Bangla National Stadium
3,0.4,Rohan Mustafa,Bilal Khan,0,Muhammad Kaleem,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,United Arab Emirates,Mirpur,2016-02-22,male,T20,1,United Arab Emirates,runs,71,0,0,0,0,Muhammad Usman,20,Oman,United Arab Emirates,Oman,field,Shere Bangla National Stadium
4,0.5,Muhammad Kaleem,Bilal Khan,0,Rohan Mustafa,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,United Arab Emirates,Mirpur,2016-02-22,male,T20,1,United Arab Emirates,runs,71,0,0,0,0,Muhammad Usman,20,Oman,United Arab Emirates,Oman,field,Shere Bangla National Stadium
5,0.6,Muhammad Kaleem,Bilal Khan,0,Rohan Mustafa,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,United Arab Emirates,Mirpur,2016-02-22,male,T20,1,United Arab Emirates,runs,71,0,0,0,0,Muhammad Usman,20,Oman,United Arab Emirates,Oman,field,Shere Bangla National Stadium
6,0.7,Muhammad Kaleem,Bilal Khan,0,Rohan Mustafa,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,United Arab Emirates,Mirpur,2016-02-22,male,T20,1,United Arab Emirates,runs,71,0,0,0,0,Muhammad Usman,20,Oman,United Arab Emirates,Oman,field,Shere Bangla National Stadium
7,1.1,Rohan Mustafa,Sufyan Mehmood,{'noballs': 1},Muhammad Kaleem,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,1,United Arab Emirates,Mirpur,2016-02-22,male,T20,1,United Arab Emirates,runs,71,0,0,0,0,Muhammad Usman,20,Oman,United Arab Emirates,Oman,field,Shere Bangla National Stadium
8,1.2,Rohan Mustafa,Sufyan Mehmood,0,Muhammad Kaleem,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,United Arab Emirates,Mirpur,2016-02-22,male,T20,1,United Arab Emirates,runs,71,0,0,0,0,Muhammad Usman,20,Oman,United Arab Emirates,Oman,field,Shere Bangla National Stadium
9,1.3,Rohan Mustafa,Sufyan Mehmood,0,Muhammad Kaleem,"{'batsman': 0, 'extras': 0, 'total': 0}","{'fielders': ['Aaqib Sulehri'], 'kind': 'run out', 'player_out': 'Rohan Mustafa'}",0.0,0.0,0.0,0.0,0,run out,Rohan Mustafa,['Aaqib Sulehri'],0,0,0,United Arab Emirates,Mirpur,2016-02-22,male,T20,1,United Arab Emirates,runs,71,0,0,0,0,Muhammad Usman,20,Oman,United Arab Emirates,Oman,field,Shere Bangla National Stadium
